train_acc,train_loss,val_acc,val_loss,val_sens
0.995,0.1245007,0.96,0.19613075,0.96
1.0,0.039261978,0.9650000000000001,0.118553065,0.9649999999999999
1.0,0.019358765,0.965,0.11246051,0.9650000000000001
1.0,0.010378858,0.97,0.09159065,0.97
1.0,0.010658966,0.97,0.09500279,0.97
1.0,0.0066521745,0.975,0.07960943,0.9749999999999999
1.0,0.0046039154,0.97,0.08774014,0.97
1.0,0.0037475827,0.97,0.073839016,0.97
1.0,0.0027102684,0.97,0.08258787,0.97
1.0,0.002340993,0.97,0.07887523,0.97
1.0,0.0025646319,0.97,0.079659045,0.97
1.0,0.0018092991,0.97,0.08023784,0.97
1.0,0.0022159698,0.97,0.07194841,0.97
1.0,0.0019446892,0.97,0.08249161,0.97
1.0,0.0014692853,0.97,0.080694355,0.97
1.0,0.0015646743,0.97,0.08136588,0.97
1.0,0.001109635,0.97,0.07868104,0.97
1.0,0.0015728395,0.97,0.07888733,0.97
1.0,0.0015774602,0.97,0.07761872,0.97
1.0,0.0013588993,0.97,0.07833175,0.97
